股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),14.56,"3,650,000",2250.00
2327,國巨*(2327.TW),8.69,"6,000,000",842.00
2383,台光電(2383.TW),6.99,"800,000",5095.00
8299,群聯(8299.TW),5.45,"1,430,000",2200.00
3037,欣興(3037.TW),5.00,"3,200,000",854.00
2454,聯發科(2454.TW),5.00,"680,000",4085.00
2408,南亞科(2408.TW),4.71,"8,000,000",340.00
2345,智邦(2345.TW),3.77,"900,000",2275.00
3017,奇鋐(3017.TW),3.76,"900,000",2335.00
6669,緯穎(6669.TW),3.58,"400,000",4900.00
2308,台達電(2308.TW),3.58,"920,000",2160.00
6223,旺矽(6223.TW),3.57,"350,000",6090.00
6274,台燿(6274.TW),3.40,"1,280,000",1475.00
5274,信驊(5274.TW),3.28,"110,000",17600.00
7769,鴻勁(7769.TW),3.27,"270,000",7055.00
8046,南電(8046.TW),2.62,"1,750,000",807.00
3189,景碩(3189.TW),2.45,"2,100,000",619.00
2059,川湖(2059.TW),2.42,"215,000",6400.00
2368,金像電(2368.TW),2.21,"880,000",1345.00
3665,貿聯-KY(3665.TW),2.10,"550,000",2160.00
8210,勤誠(8210.TW),2.05,"800,000",1440.00
8996,高力(8996.TW),2.03,"940,000",1140.00
3042,晶技(3042.TW),1.97,"5,200,000",235.00
6805,富世達(6805.TW),1.68,"540,000",1750.00
6515,穎崴(6515.TW),0.01,"1,000",8720.00
3711,日月光投控(3711.TW),0.01,"9,000",544.00
3653,健策(3653.TW),0.01,"1,000",3620.00
2382,廣達(2382.TW),0.01,"9,000",370.00
6510,精測(6510.TW),0.01,"1,000",3390.00
2360,致茂(2360.TW),0.00,"1,000",2190.00
2313,華通(2313.TW),0.00,"9,000",275.00
2317,鴻海(2317.TW),0.00,"9,000",258.50
2449,京元電子(2449.TW),0.00,"9,000",272.00
2603,長榮(2603.TW),0.00,"9,000",226.00
3231,緯創(3231.TW),0.00,"9,000",152.50
3324,雙鴻(3324.TW),0.00,"1,000",998.00
2881,富邦金(2881.TW),0.00,"9,000",125.50
2882,國泰金(2882.TW),0.00,"9,000",100.50
2337,旺宏(2337.TW),0.00,"9,000",140.00
2344,華邦電(2344.TW),0.00,"9,000",156.50
2404,漢唐(2404.TW),0.00,"1,000",1195.00
5347,世界(5347.TW),0.00,"9,000",161.50
1519,華城(1519.TW),0.00,"1,000",773.00
2885,元大金(2885.TW),0.00,"9,000",61.60
2891,中信金(2891.TW),0.00,"9,000",67.50
3044,健鼎(3044.TW),0.00,"1,000",484.00
3045,台灣大(3045.TW),0.00,"1,000",119.00
3036,文曄(3036.TW),0.00,"1,000",232.50
1303,南亞(1303.TW),0.00,"1,000",96.90
2412,中華電(2412.TW),0.00,"1,000",145.00
