股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),17.39,"2,730,000",1845.00
2383,台光電(2383.TW),7.86,"800,000",2845.00
8299,群聯(8299.TW),7.74,"1,300,000",1725.00
2408,南亞科(2408.TW),6.65,"8,500,000",226.50
2308,台達電(2308.TW),5.89,"1,100,000",1550.00
3037,欣興(3037.TW),5.59,"3,200,000",506.00
7769,鴻勁(7769.TW),4.34,"325,000",3865.00
2345,智邦(2345.TW),3.78,"650,000",1685.00
6223,旺矽(6223.TW),3.69,"285,000",3750.00
3017,奇鋐(3017.TW),3.63,"500,000",2100.00
5274,信驊(5274.TW),3.57,"90,000",11500.00
2368,金像電(2368.TW),3.02,"950,000",922.00
8046,南電(8046.TW),2.80,"1,500,000",540.00
3189,景碩(3189.TW),2.79,"2,300,000",351.50
6442,光聖(6442.TW),2.79,"380,000",2125.00
6515,穎崴(6515.TW),2.63,"90,000",8450.00
2360,致茂(2360.TW),2.58,"460,000",1625.00
3653,健策(3653.TW),2.45,"180,000",3945.00
2337,旺宏(2337.TW),2.30,"4,700,000",142.00
3711,日月光投控(3711.TW),2.07,"1,700,000",352.00
3665,貿聯-KY(3665.TW),1.99,"320,000",1805.00
2449,京元電子(2449.TW),1.99,"2,000,000",288.50
6669,緯穎(6669.TW),0.01,"1,000",3760.00
2059,川湖(2059.TW),0.01,"1,000",3615.00
6510,精測(6510.TW),0.01,"1,000",3195.00
2382,廣達(2382.TW),0.01,"9,000",285.00
2327,國巨*(2327.TW),0.01,"9,000",260.00
2313,華通(2313.TW),0.01,"9,000",230.00
2317,鴻海(2317.TW),0.01,"9,000",200.00
2454,聯發科(2454.TW),0.01,"1,000",1620.00
2603,長榮(2603.TW),0.01,"9,000",206.00
3231,緯創(3231.TW),0.00,"9,000",128.00
5347,世界(5347.TW),0.00,"9,000",124.00
8210,勤誠(8210.TW),0.00,"1,000",904.00
2881,富邦金(2881.TW),0.00,"9,000",88.80
1519,華城(1519.TW),0.00,"1,000",926.00
1590,亞德客-KY(1590.TW),0.00,"1,000",1010.00
2404,漢唐(2404.TW),0.00,"1,000",943.00
2344,華邦電(2344.TW),0.00,"9,000",98.20
2882,國泰金(2882.TW),0.00,"9,000",71.40
2891,中信金(2891.TW),0.00,"9,000",52.80
6274,台燿(6274.TW),0.00,"1,000",580.00
2885,元大金(2885.TW),0.00,"9,000",45.85
2645,長榮航太(2645.TW),0.00,"1,000",155.00
3036,文曄(3036.TW),0.00,"1,000",237.50
3044,健鼎(3044.TW),0.00,"1,000",357.00
1477,聚陽(1477.TW),0.00,"1,000",268.00
1303,南亞(1303.TW),0.00,"1,000",76.00
3045,台灣大(3045.TW),0.00,"1,000",109.00
2412,中華電(2412.TW),0.00,"1,000",135.00
