股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),8.65,"1,468,000",2000.00
5536,聖暉*(5536.TW),7.12,"3,340,000",723.00
穩懋,穩懋,5.40,"3,946,000",
6669,緯穎(6669.TW),4.93,"461,000",3630.00
2383,台光電(2383.TW),4.61,"457,000",3420.00
2360,致茂(2360.TW),4.50,"855,000",1785.00
6139,亞翔(6139.TW),4.27,"2,278,000",636.00
3264,欣銓(3264.TW),3.94,"7,078,000",189.00
2345,智邦(2345.TW),3.89,"719,000",1835.00
6223,旺矽(6223.TW),3.76,"276,000",4620.00
3017,奇鋐(3017.TW),3.59,"538,000",2265.00
2308,台達電(2308.TW),3.53,"690,000",1735.00
6257,矽格(6257.TW),3.29,"6,338,000",176.00
7769,鴻勁(7769.TW),3.21,"259,000",4200.00
3491,昇達科(3491.TW),2.88,"539,000",1815.00
6805,富世達(6805.TW),2.75,"501,000",1865.00
4958,臻鼎-KY(4958.TW),2.07,"2,654,000",265.00
2454,聯發科(2454.TW),2.06,"443,000",1575.00
3036,文曄(3036.TW),2.05,"3,090,000",225.50
啟碁,啟碁,1.66,"2,497,000",
1785,光洋科(1785.TW),1.57,"4,611,000",115.50
8996,高力(8996.TW),1.14,"373,000",1040.00
2059,川湖(2059.TW),1.05,"106,000",3355.00
3030,德律(3030.TW),1.01,"1,135,000",303.00
2404,漢唐(2404.TW),1.00,"368,000",926.00
6488,環球晶(6488.TW),0.99,"683,000",490.50
5289,宜鼎(5289.TW),0.93,"274,000",1155.00
華通,華通,0.87,"1,033,000",
聯強,聯強,0.86,"3,693,000",
順達,順達,0.86,"780,000",
志聖,志聖,0.85,"534,000",
弘塑,弘塑,0.83,"89,000",
3533,嘉澤(3533.TW),0.74,"111,000",2270.00
2472,立隆電(2472.TW),0.53,"1,210,000",148.00
6274,台燿(6274.TW),0.53,"223,000",808.00
2368,金像電(2368.TW),0.50,"155,000",1090.00
聯電,聯電,0.45,"2,445,000",
頎邦,頎邦,0.45,"1,446,000",
3711,日月光投控(3711.TW),0.40,"349,000",393.00
3665,貿聯-KY(3665.TW),0.38,"58,136",2200.00
3008,大立光(3008.TW),0.35,"51,000",2310.00
洋基工程,洋基工程,0.30,"159,000",
和碩,和碩,0.29,"1,236,000",
6177,達麗(6177.TW),0.25,"1,784,350",47.25
辛耘,辛耘,0.24,"120,000",
3376,新日興(3376.TW),0.22,"355,000",206.50
5274,信驊(5274.TW),0.22,"6,000",12580.00
8046,南電(8046.TW),0.20,"103,000",667.00
3529,力旺(3529.TW),0.20,"23,000",2955.00
2885,元大金(2885.TW),0.16,"1,102,420",47.70
8464,億豐(8464.TW),0.15,"142,000",356.00
1319,東陽(1319.TW),0.08,"355,000",80.50
4441,振大環球(4441.TW),0.03,"59,000",194.50
3443,創意(3443.TW),0.01,"1,000",2665.00
2548,華固(2548.TW),0.01,"29,600",127.50
6510,精測(6510.TW),0.01,"1,000",3485.00
