股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),15.54,"210,647",2435.00
2454,聯發科(2454.TW),6.48,"50,600",4225.00
2308,台達電(2308.TW),3.43,"60,000",1885.00
2345,智邦(2345.TW),2.34,"34,053",2270.00
2382,廣達(2382.TW),2.28,"232,000",325.00
3008,大立光(3008.TW),2.26,"16,000",4660.00
3037,欣興(3037.TW),2.24,"74,000",1000.00
6223,旺矽(6223.TW),2.18,"11,074",6495.00
5274,信驊(5274.TW),2.09,"3,951",17490.00
3711,日月光投控(3711.TW),2.07,"109,000",626.00
6669,緯穎(6669.TW),1.97,"10,714",6070.00
7769,鴻勁(7769.TW),1.96,"9,562",6770.00
2360,致茂(2360.TW),1.95,"28,000",2300.00
7828,創新服務(7828.TW),1.93,"34,000",1875.00
4958,臻鼎-KY(4958.TW),1.87,"129,000",477.50
2881,富邦金(2881.TW),1.85,"474,000",128.50
2455,全新(2455.TW),1.85,"159,000",384.00
2383,台光電(2383.TW),1.84,"10,686",5690.00
2884,玉山金(2884.TW),1.73,"1,530,000",37.30
3491,昇達科(3491.TW),1.71,"42,000",1345.00
2891,中信金(2891.TW),1.61,"798,000",66.50
2313,華通(2313.TW),1.61,"250,356",212.00
6285,啟碁(6285.TW),1.52,"203,000",246.50
2883,凱基金(2883.TW),1.49,"1,557,000",31.50
2357,華碩(2357.TW),1.39,"49,000",937.00
5347,世界(5347.TW),1.37,"277,000",163.00
2886,兆豐金(2886.TW),1.33,"959,000",45.85
2379,瑞昱(2379.TW),1.17,"51,000",758.00
6515,穎崴(6515.TW),1.13,"5,512",6745.00
6531,愛普*(6531.TW),1.13,"43,000",865.00
8464,億豐(8464.TW),1.09,"98,000",368.00
4991,環宇-KY(4991.TW),1.06,"73,000",478.00
2887,台新新光金(2887.TW),1.01,"922,160",36.20
2603,長榮(2603.TW),1.01,"155,000",215.50
2882,國泰金(2882.TW),1.01,"334,000",99.50
2059,川湖(2059.TW),0.94,"2,528",12235.00
2303,聯電(2303.TW),0.88,"234,000",124.50
1477,聚陽(1477.TW),0.86,"130,000",219.50
3131,弘塑(3131.TW),0.86,"10,730",2635.00
2412,中華電(2412.TW),0.83,"201,000",136.00
2327,國巨*(2327.TW),0.78,"39,000",662.00
4904,遠傳(4904.TW),0.77,"254,000",99.50
6187,萬潤(6187.TW),0.74,"19,305",1270.00
5904,寶雅*(5904.TW),0.67,"270,000",81.80
6510,精測(6510.TW),0.66,"7,747",2820.00
2317,鴻海(2317.TW),0.65,"82,000",262.00
6415,矽力*-KY(6415.TW),0.62,"44,000",465.00
2885,元大金(2885.TW),0.53,"251,000",69.70
3167,大量(3167.TW),0.47,"23,000",674.00
6944,兆聯實業(6944.TW),0.45,"19,800",755.00
3231,緯創(3231.TW),0.39,"66,000",197.00
3653,健策(3653.TW),0.37,"2,653",4635.00
4938,和碩(4938.TW),0.34,"118,000",94.80
1216,統一(1216.TW),0.30,"129,000",76.30
2890,永豐金(2890.TW),0.29,"238,920",39.95
2368,金像電(2368.TW),0.28,"9,000",1010.00
2912,統一超(2912.TW),0.27,"41,000",217.00
8021,尖點(8021.TW),0.27,"21,000",429.00
2344,華邦電(2344.TW),0.25,"47,000",177.00
3034,聯詠(3034.TW),0.23,"14,000",538.00
5871,中租-KY(5871.TW),0.16,"44,920",114.00
1301,台塑(1301.TW),0.07,"41,000",57.50
2449,京元電子(2449.TW),0.06,"7,250",253.50
臺股期貨08/26,臺股期貨08/26,0.04,N/A,
2615,萬海(2615.TW),0.02,"8,000",87.50
臺指選擇權08/26 45600 買權,臺指選擇權08/26 45600 買權,-0.40,N/A,
