股票代號,個股名稱,投資比例(%),持有股數,Price
2330,台積電(2330.TW),9.79,"179,000",2350.00
2383,台光電(2383.TW),7.27,"51,000",5880.00
2454,聯發科(2454.TW),7.23,"81,000",3845.00
4958,臻鼎-KY(4958.TW),6.12,"562,000",457.00
2327,國巨*(2327.TW),5.96,"450,000",576.00
2308,台達電(2308.TW),4.81,"115,000",1765.00
2472,立隆電(2472.TW),3.33,"633,000",234.00
3443,創意(3443.TW),3.31,"26,000",5295.00
8046,南電(8046.TW),2.72,"95,000",1180.00
3037,欣興(3037.TW),2.58,"98,000",1130.00
2344,華邦電(2344.TW),2.51,"619,000",168.00
6278,台表科(6278.TW),2.40,"608,000",174.50
6831,邁科(6831.TW),2.39,"159,000",599.00
3653,健策(3653.TW),2.37,"20,000",5460.00
2408,南亞科(2408.TW),2.34,"198,000",481.00
小型臺指期貨,小型臺指期貨,2.34,N/A,
6223,旺矽(6223.TW),2.30,"19,000",5255.00
6239,力成(6239.TW),2.02,"331,000",262.50
3189,景碩(3189.TW),1.67,"84,000",849.00
6415,矽力*-KY(6415.TW),1.60,"156,000",440.00
1303,南亞(1303.TW),1.57,"341,000",187.50
3661,世芯-KY(3661.TW),1.54,"18,000",3630.00
3042,晶技(3042.TW),1.52,"371,000",186.00
3363,上詮(3363.TW),1.39,"103,000",584.00
2345,智邦(2345.TW),1.38,"27,000",2125.00
8021,尖點(8021.TW),1.35,"144,000",393.50
2360,致茂(2360.TW),1.32,"25,000",2120.00
3693,營邦(3693.TW),1.13,"94,000",508.00
8210,勤誠(8210.TW),1.06,"45,000",985.00
6274,台燿(6274.TW),0.85,"24,000",1500.00
3017,奇鋐(3017.TW),0.77,"11,000",3095.00
8996,高力(8996.TW),0.76,"28,000",1135.00
5269,祥碩(5269.TW),0.69,"22,000",1460.00
6770,力積電(6770.TW),0.66,"409,000",66.60
3711,日月光投控(3711.TW),0.48,"35,000",588.00
6531,愛普*(6531.TW),0.44,"22,000",837.00
6182,合晶(6182.TW),0.43,"157,000",110.00
2368,金像電(2368.TW),0.34,"14,000",1040.00
4583,台灣精銳(4583.TW),0.33,"30,000",481.00
2467,志聖(2467.TW),0.32,"25,000",547.00
3131,弘塑(3131.TW),0.29,"5,000",2355.00
6526,達發(6526.TW),0.16,"12,000",580.00
3665,貿聯-KY(3665.TW),0.15,"3,000",2200.00
1802,台玻(1802.TW),0.12,"90,000",57.10
4749,新應材(4749.TW),0.09,"5,086",759.00
3533,嘉澤(3533.TW),0.08,"2,000",1620.00
6213,聯茂(6213.TW),0.07,"6,000",484.00
2881,富邦金(2881.TW),0.06,"20,000",128.50
2882,國泰金(2882.TW),0.06,"25,000",98.30
2317,鴻海(2317.TW),0.05,"9,000",245.00
2382,廣達(2382.TW),0.05,"6,000",331.00
2449,京元電子(2449.TW),0.03,"6,300",235.00
